Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
12 MAY 2026,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,12 MAY 2026,               2.00,        1497778469,              9.35,    13974273115.75  
12 MAY 2026,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,12 MAY 2026,              10.00,          15238326,            813.55,    12397140117.30   
12 MAY 2026,ALLETEC,SM,ALL E TECHNOLOGIES LTD   ,Listed    ,12 MAY 2026,              10.00,          20194176,            151.45,     3058407955.20   
12 MAY 2026,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,12 MAY 2026,               2.00,          65507778,            244.65,    16027132965.50   
12 MAY 2026,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,12 MAY 2026,               1.00,         173646754,             15.50,     2689788219.45   
12 MAY 2026,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,12 MAY 2026,               1.00,        4965240401,             13.55,    67378312241.55  
12 MAY 2026,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,12 MAY 2026,              10.00,          21040600,             68.50,     1440860288.00      
12 MAY 2026,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,12 MAY 2026,              10.00,          25543000,            915.05,    23373122150.00
12 MAY 2026,ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED ,Listed    ,12 MAY 2026,              10.00,           6364767,            234.10,     1489864659.35  
12 MAY 2026,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,12 MAY 2026,              10.00,          24847420,             50.10,     1244855742.00   
12 MAY 2026,AMAGI,EQ,AMAGI MEDIA LABS LIMITED ,Listed    ,12 MAY 2026,               5.00,         216338944,            409.55,    88601614515.20     
12 MAY 2026,AMANTA,EQ,AMANTA HEALTHCARE LIMITED,Listed    ,12 MAY 2026,              10.00,          38829351,            134.30,     5214393545.80    
12 MAY 2026,AMBAAUTO,ST,AMBA AUTO SALES AND SER L,Listed    ,12 MAY 2026,              10.00,          18324000,            129.50,     2372958000.00  
12 MAY 2026,AMBALALSA,EQ,AMBALAL SARABHAI ENT L   ,Permitted ,12 MAY 2026,              10.00,          76633296,             30.90,     2368735179.35 
12 MAY 2026,AMBANIORGO,ST,AMBANI ORGOCHEM LIMITED  ,Listed    ,08 MAY 2026,              10.00,           7658659,            140.40,     1075275723.60
12 MAY 2026,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,12 MAY 2026,              10.00,          35191667,           8163.50,   287287173554.50     
12 MAY 2026,AMBEY,ST,AMBEY LABORATORIES LTD   ,Listed    ,12 MAY 2026,              10.00,          24946819,             28.70,      715973705.30     
12 MAY 2026,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,12 MAY 2026,              10.00,          17177400,             24.05,      412944696.00
12 MAY 2026,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,12 MAY 2026,              10.00,           5725000,           1524.30,     8726617500.00   
12 MAY 2026,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,12 MAY 2026,               2.00,        2471823478,            426.95,  1055345033932.10 
12 MAY 2026,AMCL,SM,ANB METAL CAST LIMITED   ,Listed    ,12 MAY 2026,              10.00,          11834780,            518.00,     6130416040.00      
12 MAY 2026,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,12 MAY 2026,              10.00,          19166749,             46.40,      889528821.10    
12 MAY 2026,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,12 MAY 2026,              10.00,           7500000,            128.45,      963375000.00     
12 MAY 2026,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,12 MAY 2026,              10.00,           1748200,             65.15,      113895230.00   
12 MAY 2026,AMIRCHAND,EQ,AMIR CHAND JAG KUM (E) L ,Listed    ,12 MAY 2026,              10.00,         103551556,            131.30,    13597354818.35 
12 MAY 2026,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,12 MAY 2026,               2.00,          41000000,             39.35,     1613760000.00   
12 MAY 2026,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,12 MAY 2026,               2.00,          55020000,            170.50,     9380910000.00   
12 MAY 2026,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,12 MAY 2026,               1.00,          28910630,            557.60,    16120567288.00
12 MAY 2026,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,12 MAY 2026,               5.00,          83020634,           3529.80,   293046233893.20
12 MAY 2026,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,12 MAY 2026,             100.00,         217500000,            109.10,    23729250000.00   
12 MAY 2026,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,12 MAY 2026,               2.00,         359876930,            502.45,   180820163478.50  
12 MAY 2026,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,12 MAY 2026,               2.00,         198850195,             65.65,    13052526799.80 
12 MAY 2026,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,12 MAY 2026,               2.00,         135535390,             93.45,    12663071487.70
12 MAY 2026,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,12 MAY 2026,               1.00,         909055160,            299.10,   271898398356.00  
12 MAY 2026,ANIKINDS,BE,ANIK INDUSTRIES LTD      ,Listed    ,12 MAY 2026,              10.00,          27753486,             44.30,     1230034499.50  
12 MAY 2026,ANKITMETAL,BZ,ANKIT MET & POW LTD      ,Listed    ,12 MAY 2026,              10.00,         141110500,              1.65,      231421220.00
12 MAY 2026,ANLON,ST,ANLON TECHNOLOGY SOL LTD ,Listed    ,12 MAY 2026,              10.00,           6255400,            556.00,     3478002400.00     
12 MAY 2026,ANMOL,EQ,ANMOL INDIA LIMITED      ,Listed    ,12 MAY 2026,              10.00,          56914150,             11.50,      653374442.00     
12 MAY 2026,ANNAPURNA,SM,ANNAPURNA SWADISHT LTD   ,Listed    ,12 MAY 2026,              10.00,          21820000,            149.05,     3252271000.00 
12 MAY 2026,ANONDITA,SM,ANONDITA MEDICARE LIMITED,Listed    ,12 MAY 2026,              10.00,          18086618,            961.50,    17390283207.00  
12 MAY 2026,ANSALAPI,BZ,ANSAL PROP & INFRA LTD   ,Listed    ,12 MAY 2026,               5.00,         157404876,              4.20,      659526430.45  
